ASIN,category,title,brand,rank,30 day ma rank,7 day ma rank,review_cnt,price,old price,shipping,stock_left,new_review,rank change,price change,date of update,time of update
B000DZFMEQ,Bread Mix,GF Bread Mix,Pamelas,"2,609",2536.0043417395714,2734.4343573211927,612,29.16,28.93,PRIME,100,No,No,No,04/19/2016,07:07:02
B00DTV98BO,Bread Mix,GF Bread Mix Flavor Pack,Gluten Free You and Me,"119,572",84583.73559378195,89613.26883095708,70,19.49,18.99,PRIME,15,No,Yes,No,04/19/2016,07:07:09
B00EHO10R2,Bread Mix,GF Bread Mix French White ,Gluten Free You and Me,"82,394",82684.19708704996,80800.69530781158,70,18.99,17.99,PRIME,6,No,No,No,04/19/2016,07:07:31
B004AXZEW2,buttermilk,Buttermilk Powder (12 Oz Can),Saco Foods,"3,634",9206.643771748875,6849.444455613693,68,9.06,9.38,PRIME,100,Yes,Yes,No,04/19/2016,07:07:34
B008M0C7BU,buttermilk,Buttermilk Powder (16 Oz Jar),Hoosier Farm,"7,572",7439.863767852495,7143.809599655581,233,11.29,11.99,PRIME,100,Yes,No,No,04/19/2016,07:07:41
B00EQMJFAE,buttermilk,Buttermilk Powder (12 Oz),Gluten Free You and Me,"25,567",29609.862875239178,20950.542582969032,14,8.99,15.99,PRIME,12,No,Yes,No,04/19/2016,07:07:42
B0013OXDBU,egg whites,Protein powder Now Foods,Now Foods,"2,367",2230.8599670094395,2474.9270657783427,373,23.04,22.35,PRIME,100,No,Yes,Yes,04/19/2016,07:07:44
B0094UAO6W,egg whites,Egg Whites 8 oz,Hoosier Farm,"26,045",36626.9173404459,27624.908864838886,26,28.95,24.99,PRIME,100,No,Yes,No,04/19/2016,07:07:47
B00IYTQKOO,egg whites,Egg Whites : 1/2lb (8oz) ,Gluten Free You and Me,"4,809",6038.443390541102,5224.424825031834,47,16.99,17.99,PRIME,100,No,Yes,No,04/19/2016,07:07:48
B01C2Z9I9E,egg whites,Egg Whites : 1 lb,Gluten Free You and Me,"16,925",33522.29556474132,23628.767293245663,1,24.99,25,PRIME,100,No,Yes,No,04/19/2016,07:07:51
B008T9SHRW,Egg whites,Whole Eggs 1 #,Hoosier Farm,"3,932",4989.930115483938,4440.784033717491,252,24.95,26.95,PRIME,100,No,Yes,No,04/19/2016,07:07:54
B00250U8GE,Expandex,Ultratex 8 16-Ounce Jar  : ,WillPowder,"26,070",41683.45836671665,42238.28448322585,9,18.12,15.99,PRIME,100,No,Yes,No,04/19/2016,07:08:07
B00CXW12EQ,expandex,Expandex  (5 lb) : ,Gluten Free You and Me,"35,741",49703.55946431949,52149.13291419702,14,28.49,26.99,PRIME,100,No,Yes,No,04/19/2016,07:08:20
B00L4DFODU,expandex,Expandex  (2.5 lb) : ,Gluten Free You and Me,"15,595",21405.065137374884,27901.087021939285,37,17.99,17.49,PRIME,100,No,Yes,No,04/19/2016,07:08:21
B012833N6O,expandex,Expandex (13.5oz)) : ,Gluten Free You and Me,"17,516",13579.132930229513,13716.58158222158,13,9.99,9.49,PRIME,100,No,Yes,No,04/19/2016,07:08:35
B0015BWIZS,Guar Gum,Guar Gum (6 ounce can),Now Foods,"5,336",6723.387716455405,7008.619009114332,134,5.39,6.13,PRIME,100,Yes,Yes,No,04/19/2016,07:08:36
B005HF068O,Guar Gum,Guar Gum (8 Oz),Bob Red Mill,"7,129",7175.8480114598515,5844.9039409647885,123,10.18,9.99,PRIME,100,No,Yes,No,04/19/2016,07:08:39
B00IZDIMG8,Guar Gum,Guar Gum (12 Oz),Gluten Free You and Me,"21,150",20850.34328665837,19844.80537286893,17,10.91,15.99,PRIME,100,No,No,No,04/19/2016,07:08:40
B00OCV3QRW,heavy cream,heavy cream 1 lb jar,Hoosier Farm,"6,999",4291.004388667383,4866.968843247192,177,15.99,14.99,PRIME,100,Yes,Yes,No,04/19/2016,07:08:41
B004K0862K,Milk Powder,Peak whole milk 900 grams,Peak,"1,338",1235.1595567021493,1085.9666950805145,779,17.31,22.95,PRIME,100,No,Yes,No,04/19/2016,07:08:45
B0099XI58S,Milk Powder,Whole Milk Powder (16 Oz Jar),Hoosier Farm,"2,772",2048.026743344891,2743.0654774802533,305,11.99,10.09,PRIME,100,No,Yes,No,04/19/2016,07:08:46
B00IYRDTTA,Milk Powder,Whole Milk Powder (12 Oz),Gluten Free You and Me,"11,110",17921.963653135048,15844.492172510189,18,9.49,9.39,PRIME,100,No,Yes,No,04/19/2016,07:08:47
B013P7XS62,Milk Powder,Whole Milk Powder (24 oz),Gluten Free You and Me,"17,240",32296.517737276034,18837.408884438173,12,14.99,14.99,PRIME,100,No,Yes,No,04/19/2016,07:08:47
B00ENSA942,Potassium Citrate,Potassium Citrate Powder (250 grams): ,BulkSupplements,"9,566",13193.273360632726,12057.589750778356,656,13.96,15.99,PRIME,100,Yes,Yes,No,04/19/2016,07:08:51
B00UI9F01C,Potassium Citrate,Potassium Citrate ,Gluten Free You and Me,"41,328",50100.55841865878,39758.20355976991,16,9.99,15.99,PRIME,14,No,Yes,No,04/19/2016,07:08:54
B00022DRVK,Potato Starch,Potato Starch (3 #),Authentic Foods,"14,959",10543.08087618451,15717.982465412271,51,16.99,18.99,PRIME,100,No,Yes,No,04/19/2016,07:09:01
B00D39204O,Potato Starch,Potato Starch (2.5 #),Gluten Free You and Me,"9,624",22608.49051713655,12888.554791702763,21,13.49,12.99,PRIME,100,No,Yes,No,04/19/2016,07:09:02
B00250Y9Y6,Sodium Citrate,"Sodium Citrate, 16-Ounce Jar : ",WillPowder,"19,483",13098.655875801018,16331.738859403471,89,15.0,15.99,PRIME,100,No,Yes,No,04/19/2016,07:09:03
B00BLPNMYY,Sodium Citrate,Sodium Citrate  14 ounces  ,Modernist Pantry,"13,806",10542.798103717314,14029.087113489146,70,11.99,13.99,Free Shipping,100,No,Yes,No,04/19/2016,07:09:06
B00D393SVS,Sodium Citrate,Sodium Citrate ( 16 oz) ,Gluten Free You and Me,"16,499",20654.444593385542,19829.35297453646,19,10.99,11.59,PRIME,14,No,Yes,No,04/19/2016,07:09:08
B00PKHAQDY,Sodium Citrate,Sodium Citrate (8oz/227g) ,Gluten Free You and Me,"20,163",19761.900476329287,17764.542904732305,32,8.65,8.49,PRIME,100,No,Yes,No,04/19/2016,07:09:09
B0013JJZWG,Xanthan Gum,xanthan gum =8 oz,Bob Red Mill,"2,923",2655.586501940358,2631.5642770320833,142,13.92,13.93,PRIME,100,No,No,No,04/19/2016,07:09:12
B0014UH7J2,Xanthan Gum,"Xanthan Gum, 6 Ounce Bottle  ",Now Foods,824,833.0036570629402,839.5227139551229,294,8.77,8.78,PRIME,100,No,No,No,04/19/2016,07:09:15
B015NIHS12,Xanthan Gum,Xanthan Gum 12 OZ jAR  : ,Essential Depot,"8,835",9910.207662581823,10271.7836204609,9,10.95,9.93,Free Shipping,100,No,No,No,04/19/2016,07:09:18
B00CYMU3TA,Xanthan Gum,Xanthan Gum 15 Oz ,Gluten Free You and Me,"2,750",3844.5529504263027,3112.803135035115,106,12.29,11.99,PRIME,100,Yes,Yes,No,04/19/2016,07:09:19
B00IZDIMCM,Xanthan Gum,Xanthan  Gum 8 Oz ,Gluten Free You and Me,"3,607",7209.658276378943,4939.1027629043565,53,8.99,9.99,PRIME,100,Yes,Yes,No,04/19/2016,07:09:23
B00PKMPXX2,Xanthan Gum,xanthan gum 1 b,Anthonys,"2,278",4908.453762458245,2337.1318962724513,37,13.39,12.29,PRIME,100,No,Yes,No,04/19/2016,07:09:31
